G_mM,Y_0p5,Y_5,Y_36
9.999999999999982011e-09,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.010803336220382749e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.021723384514257942e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.032761405761394785e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.043918674463272197e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.055196478890237068e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.066596121230254167e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.078118917739266564e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.089766198893160955e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.101539309541414140e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.113439609062360287e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.125468471520154573e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.137627285823429072e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.149917455885663058e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.162340400787285095e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.174897554939526761e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.187590368250046211e-08,3.572281254869290312e-18,4.901064351505459200e-18,6.082038429894900167e-17
1.200420306290341755e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.213388850464973329e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.226497498182612357e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.239747763028944008e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.253141174941415222e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.266679280385915192e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.280363642535318994e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.294195841449984185e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.308177474260191939e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.322310155350558197e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.336595516546439315e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.351035207302348917e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.365630894892413254e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.380384264602880616e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.395297019926713753e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.410370882760287634e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.425607593602187581e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.441008911754205393e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.456576615524456523e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.472312502432717075e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.488218389417973511e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.504296113048215179e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.520547529732492484e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.536974515935267838e-08,1.551041775618461298e-17,2.122810402850858561e-17,2.629715896666787768e-16
1.553578968393079411e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.570362804333547951e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.587327961696749174e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.604476399358976711e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.621810097358929678e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.639331057126312649e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.657041301712966784e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.674942876026435533e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.693037847066086977e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.711328304161777934e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.729816359215098208e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.748504146943220458e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.767393825125384796e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.786487574852045919e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.805787600776711890e-08,1.932695755839539195e-17,2.648346218855660828e-17,3.277299844598043276e-16
1.825296131370504335e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
1.845015419179473489e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
1.864947741084663119e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
1.885095398565047415e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
1.905460717963245561e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
1.926046050754137716e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
1.946853773816378780e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
1.967886289706841371e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
1.989146026938029701e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
2.010635440258483220e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
2.032357010936216664e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
2.054313247045216382e-08,2.314349736060617399e-17,3.170929586455941739e-17,3.924883792529299277e-16
2.076506683755035602e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.098939883623517111e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.121615436892684360e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.144535961787794055e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.167704104819693172e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.191122541090368226e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.214793974601830724e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.238721138568336155e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.262906795731971925e-08,3.099030319395153998e-17,4.248573254106238477e-17,5.263807360549327943e-16
2.287353738681657571e-08,3.888290750492343186e-17,5.329169370161056570e-17,6.593979794137852290e-16
2.312064790175589034e-08,3.888290750492343186e-17,5.329169370161056570e-17,6.593979794137852290e-16
2.337042803467168990e-08,3.888290750492343186e-17,5.329169370161056570e-17,6.593979794137852290e-16
2.362290662634455026e-08,3.888290750492343186e-17,5.329169370161056570e-17,6.593979794137852290e-16
2.387811282913169978e-08,3.888290750492343186e-17,5.329169370161056570e-17,6.593979794137852290e-16
2.413607611033308526e-08,3.888290750492343186e-17,5.329169370161056570e-17,6.593979794137852290e-16
2.439682625559389332e-08,3.888290750492343186e-17,5.329169370161056570e-17,6.593979794137852290e-16
2.466039337234337848e-08,3.888290750492343186e-17,5.329169370161056570e-17,6.593979794137852290e-16
2.492680789327174808e-08,4.651598710934499595e-17,6.374336105361618393e-17,7.889147690000363305e-16
2.519610057984369800e-08,4.651598710934499595e-17,6.374336105361618393e-17,7.889147690000363305e-16
2.546830252585037580e-08,4.651598710934499595e-17,6.374336105361618393e-17,7.889147690000363305e-16
2.574344516099960600e-08,4.651598710934499595e-17,6.374336105361618393e-17,7.889147690000363305e-16
2.602156025454491670e-08,4.651598710934499595e-17,6.374336105361618393e-17,7.889147690000363305e-16
